STT,Chức năng kiểm thử,Mô tả test case,Dữ liệu đầu vào,Bước thực hiện,Kết quả mong đợi,Kết quả thực tế,Trạng thái (Pass/Fail),Ghi chú
1,Đăng ký,Đăng ký tài khoản mới thành công,"username: testuser, password: Password123!, email: test@gmail.com","1. Truy cập trang Đăng ký -> 2. Nhập thông tin hợp lệ -> 3. Nhấn Đăng ký",Hệ thống báo đăng ký thành công và tạo tài khoản mới,,,
2,Đăng ký,Đăng ký thất bại do trùng username,"username: admin (đã tồn tại), password: Password123!","1. Truy cập trang Đăng ký -> 2. Nhập username đã tồn tại -> 3. Nhấn Đăng ký",Hệ thống báo lỗi username đã tồn tại,,,
3,Đăng nhập,Đăng nhập đúng thông tin,"username: admin, password: 123456","1. Truy cập trang đăng nhập -> 2. Nhập thông tin -> 3. Nhấn 'Đăng nhập'","Chuyển đến trang Dashboard/Trang chủ, đăng nhập thành công",,,
4,Đăng nhập,Đăng nhập sai mật khẩu,"username: admin, password: wrongpassword","1. Truy cập trang đăng nhập -> 2. Nhập sai mật khẩu -> 3. Nhấn 'Đăng nhập'",Hiển thị lỗi "Sai mật khẩu" hoặc "Tài khoản/Mật khẩu không đúng",,,
5,Xem sản phẩm,Lấy danh sách sản phẩm phân trang,page: 0; size: 10,1. Truy cập trang chủ hoặc trang danh sách sản phẩm,Hiển thị danh sách 10 sản phẩm đầu tiên,,,
6,Tìm kiếm sản phẩm,Tìm kiếm với từ khóa tồn tại,"keyword: 'áo'","1. Nhập 'áo' vào ô tìm kiếm -> 2. Nhấn tìm kiếm","Hiển thị các sản phẩm có chứa từ 'áo' trong tên",,,
7,Tìm kiếm sản phẩm,Tìm kiếm với từ khóa không tồn tại,"keyword: 'xyz123'","1. Nhập 'xyz123' vào ô tìm kiếm -> 2. Nhấn tìm kiếm",Hiển thị thông báo không tìm thấy sản phẩm,,,
8,Lọc sản phẩm,Lọc sản phẩm theo khoảng giá,"minPrice: 100000, maxPrice: 500000","1. Chọn khoảng giá 100k - 500k -> 2. Nhấn Lọc",Hiển thị danh sách sản phẩm có giá trong khoảng 100k-500k,,,
9,Quản lý sản phẩm (Admin),Thêm sản phẩm thành công,"Tên: Áo thun, Giá: 150000, Tồn kho: 50","1. Đăng nhập Admin -> 2. Vào Thêm sản phẩm -> 3. Nhập dữ liệu -> 4. Lưu",Sản phẩm mới được thêm vào hệ thống,,,
10,Quản lý sản phẩm (Admin),Thêm sản phẩm bỏ trống tên,"Tên: để trống, Giá: 150000","1. Đăng nhập Admin -> 2. Vào Thêm sản phẩm -> 3. Nhập thiếu Tên -> 4. Lưu",Hiển thị lỗi yêu cầu nhập tên sản phẩm,,,
11,Quản lý sản phẩm (Admin),Xóa sản phẩm,ID sản phẩm tồn tại,"1. Đăng nhập Admin -> 2. Vào danh sách sản phẩm -> 3. Chọn xóa 1 sản phẩm",Xóa sản phẩm thành công khỏi danh sách hiển thị,,,
12,Giỏ hàng,Thêm sản phẩm vào giỏ hàng,"ID sản phẩm, số lượng: 1","1. Đăng nhập Customer -> 2. Chọn sản phẩm -> 3. Nhấn Thêm vào giỏ",Hiển thị thông báo thành công và số lượng giỏ hàng tăng 1,,,
13,Giỏ hàng,Cập nhật số lượng sản phẩm trong giỏ,Số lượng mới: 3,"1. Vào giỏ hàng -> 2. Sửa số lượng thành 3 -> 3. Nhấn Cập nhật",Số lượng thay đổi thành 3 và tổng tiền thay đổi tương ứng,,,
14,Giỏ hàng,Xóa sản phẩm khỏi giỏ hàng,ID sản phẩm đang có trong giỏ,"1. Vào giỏ hàng -> 2. Nhấn nút Xóa cạnh sản phẩm",Sản phẩm biến mất khỏi giỏ hàng,,,
15,Đặt hàng,Tạo đơn hàng thành công từ giỏ,Giỏ hàng có sản phẩm và thông tin địa chỉ hợp lệ,"1. Vào giỏ hàng -> 2. Nhấn Thanh toán -> 3. Nhập địa chỉ -> 4. Đặt hàng",Thông báo đặt hàng thành công và giỏ hàng được làm trống,,,
16,Đặt hàng,Tạo đơn hàng khi giỏ trống,Giỏ hàng rỗng,1. Vào giỏ hàng -> 2. Nhấn Thanh toán,Hệ thống báo lỗi giỏ hàng trống và không cho tạo đơn,,,
17,Đơn hàng (Customer),Hủy đơn hàng đang chờ xử lý,ID đơn hàng trạng thái PENDING,"1. Vào lịch sử đơn hàng -> 2. Chọn đơn hàng PENDING -> 3. Nhấn Hủy",Đơn hàng chuyển sang trạng thái CANCELLED,,,
18,Đơn hàng (Admin),Cập nhật trạng thái đơn hàng,Trạng thái mới: DELIVERED,"1. Đăng nhập Admin -> 2. Quản lý đơn hàng -> 3. Đổi trạng thái thành DELIVERED",Đơn hàng chuyển trạng thái DELIVERED thành công,,,
19,Thanh toán,Tạo URL thanh toán VNPay,ID đơn hàng chưa thanh toán,"1. Chọn đơn hàng -> 2. Chọn thanh toán VNPay -> 3. Nhấn thanh toán",Hệ thống tạo và trả về URL thanh toán VNPay hợp lệ,,,
20,Đánh giá sản phẩm,Đánh giá sản phẩm đã mua,"Nội dung: Sản phẩm tốt, Rating: 5 sao","1. Đăng nhập Customer -> 2. Vào chi tiết sản phẩm đã mua -> 3. Gửi đánh giá",Đánh giá được lưu và hiển thị trên trang chi tiết sản phẩm,,,
21,Mã giảm giá,Áp dụng mã giảm giá hợp lệ,Mã voucher: SALE10 (Giảm 10%),"1. Vào trang thanh toán -> 2. Nhập mã SALE10 -> 3. Nhấn Áp dụng",Tổng tiền đơn hàng được giảm đúng 10%,,,
22,Khách hàng thân thiết,Tích điểm sau khi hoàn thành đơn,Đơn hàng hoàn tất (DELIVERED),1. Customer nhận đơn hàng -> 2. Admin chuyển trạng thái DELIVERED,Tài khoản Customer được cộng điểm thưởng Loyalty tương ứng,,,
